price,artist,title,condition,period,movement,year_numeric,condition_grouped,is_signed
3495,Kota Ezawa,Conical Intersect (After Gordon Matta-Clark 1975),"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism,2005,Excellent,No
9995,Sze Tsung Leong,"Lincoln Center, New York","This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Contemporary,Realism,2003,Excellent,Yes
3995,Kota Ezawa,Earth from Moon (After NASA 1969),"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism,2006,Excellent,No
3995,After Kota Ezawa,The Bohemians (After August Sander 1924),"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism,2006,Excellent,No
6995,Abelardo Morell,Camera Obscura Image of the Brooklyn Bridge in Bedroom,Print is in generally excellent condition.There is a tiny deposit of original retouching in the lower right corner and a crescent-shaped handling crease in the lower left that is only visible under raking light and does not appear to break the emulsion.,Post-War,Realism,1999,Excellent,Yes
2995,Harry Callahan,"Water Reflections, Bass Rocks, Massachusetts",Print is generally in excellent condition.The colors are rich and saturated with no apparent fading.,Post-War,Realism,1971,Excellent,Yes
8995,Sze Tsung Leong,"Luohu District, Shenzhen","This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Contemporary,Realism,2008,Excellent,Yes
3495,Harry Callahan,"Beach and Shells, Horseneck Beach, Massachusetts",Print is in generally excellent condition.The colors are rich and saturated with no apparent fading.,Post-War,Realism,1978,Excellent,Yes
3995,Harry Callahan,"Brown Grass, Horseneck Beach, Massachusetts",Print is in generally excellent condition.The color appears rich and saturated with no apparent fading.,Post-War,Realism,1971,Excellent,Yes
13500,Charles Green Shaw,Giant Clutch,"This work is unlined.The surface of the work is dirty with scattered pindots of surface accretion.Under UV: Although some pigments read strongly, they appear to be the artist's original.",Post-War,Abstract,1965,Other,Yes
4000,John Baldessari,Visionaire 64 Art Blue Edition,Screenprints are in excellent condition.,Contemporary,Conceptual ,2014,Excellent,Yes
17000,Charly Palmer,Erasing Memories,Excellent condition.,Contemporary,Expressionism,2020,Excellent,Yes
17000,Charly Palmer,Tar Baby,Excellent condition.,Contemporary,Expressionism,2012,Excellent,Yes
